placeId,locationConfidence,startTimestamp,endTimestamp,placeVisitImportance,placeVisitType,name,address,latitude,longitude,centerLat,centerLng,timezone,startTimestamp_local,endTimestamp_local,year,year_local,month,month_local,day,day_local,hour,hour_local,minute,minute_local,weekday,weekday_local,duration,duration_minutes
ChIJkT4EGUFhezURmFNNjUBhZdw,90.92843,2022-03-22 04:43:48.373000+00:00,2022-03-22 04:58:54.430000+00:00,MAIN,SINGLE_PLACE,Costco Wholesale - Gwangmyeong Branch,대한민국 경기도 광명시 일직로 40,37.4206838,126.8864277,37.4209062,126.8857615,Asia/Seoul,2022-03-22 13:43:48.373,2022-03-22 13:58:54.430,2022,2022,3,3,22,22,4,13,43,43,1,1,0 days 00:15:06.057000,15.100950000000001
ChIJiWKXIGxhezURSdDzm8-jpb0,62.741615,2022-03-22 05:13:59.902000+00:00,2022-03-22 09:05:29.333000+00:00,MAIN,SINGLE_PLACE,501 광명역세권휴먼시아5단지,대한민국 광명시 소하2동,37.4308554,126.8842593,37.4308827,126.8842659,Asia/Seoul,2022-03-22 14:13:59.902,2022-03-22 18:05:29.333,2022,2022,3,3,22,22,5,14,13,13,1,1,0 days 03:51:29.431000,231.49051666666668
ChIJpSngfJJhezUR4vBayRfOmIg,90.61637,2022-03-22 09:21:27.460000+00:00,2022-03-22 10:06:56.183000+00:00,MAIN,SINGLE_PLACE,NEWCORE Outlet,"대한민국 경기도 광명시 하안로287번길 8
KR",37.461151,126.8793193,37.4610619,126.8794106,Asia/Seoul,2022-03-22 18:21:27.460,2022-03-22 19:06:56.183,2022,2022,3,3,22,22,9,18,21,21,1,1,0 days 00:45:28.723000,45.478716666666664
ChIJiWKXIGxhezURSdDzm8-jpb0,63.874374,2022-03-22 10:23:48.522000+00:00,2022-03-24 00:24:02.330000+00:00,MAIN,SINGLE_PLACE,501 광명역세권휴먼시아5단지,대한민국 광명시 소하2동,37.4308554,126.8842593,37.4308941,126.8842648,Asia/Seoul,2022-03-22 19:23:48.522,2022-03-24 09:24:02.330,2022,2022,3,3,22,22,10,19,23,23,1,1,1 days 14:00:13.808000,2280.2301333333335
ChIJy1HUOTlhezURtlvsPRRBnHw,84.74379,2022-03-24 00:33:37.019000+00:00,2022-03-24 01:01:21.463000+00:00,MAIN,SINGLE_PLACE,충현근린공원,대한민국 경기도 광명시 소하2동 1068-3,37.432157,126.8787593,37.4323219,126.8787438,Asia/Seoul,2022-03-24 09:33:37.019,2022-03-24 10:01:21.463,2022,2022,3,3,24,24,0,9,33,33,3,3,0 days 00:27:44.444000,27.740733333333335
ChIJiWKXIGxhezURSdDzm8-jpb0,64.89203,2022-03-24 01:09:56.481000+00:00,2022-03-25 08:26:11.023000+00:00,MAIN,SINGLE_PLACE,501 광명역세권휴먼시아5단지,대한민국 광명시 소하2동,37.4308554,126.8842593,37.4309431,126.8841985,Asia/Seoul,2022-03-24 10:09:56.481,2022-03-25 17:26:11.023,2022,2022,3,3,24,24,1,10,9,9,3,3,1 days 07:16:14.542000,1876.2423666666666
ChIJiWKXIGxhezURSdDzm8-jpb0,74.9706,2022-03-25 09:42:25.999000+00:00,2022-03-27 05:10:00.782000+00:00,MAIN,SINGLE_PLACE,501 광명역세권휴먼시아5단지,대한민국 광명시 소하2동,37.4308554,126.8842593,37.4308789,126.8842587,Asia/Seoul,2022-03-25 18:42:25.999,2022-03-27 14:10:00.782,2022,2022,3,3,25,25,9,18,42,42,4,4,1 days 19:27:34.783000,2607.5797166666666
ChIJn5eRaL1hezURoGHUwdAFqsI,56.95112,2022-03-27 05:35:38.572000+00:00,2022-03-27 05:54:49.498000+00:00,MAIN,SINGLE_PLACE,AK플라자 광명점,대한민국 경기도 광명시 일직동 양지로 17,37.4189097,126.8828764,37.4182609,126.8828636,Asia/Seoul,2022-03-27 14:35:38.572,2022-03-27 14:54:49.498,2022,2022,3,3,27,27,5,14,35,35,6,6,0 days 00:19:10.926000,19.182100000000002
ChIJ-X-A6g9iezURwYQJtzP-4ls,92.91345,2022-03-27 06:22:38.398000+00:00,2022-03-27 06:32:47.477000+00:00,MAIN,SINGLE_PLACE,세계로마트 광명소하점,대한민국 경기도 광명시 오리로 350,37.4336631,126.8795904,37.4331643,126.8800929,Asia/Seoul,2022-03-27 15:22:38.398,2022-03-27 15:32:47.477,2022,2022,3,3,27,27,6,15,22,22,6,6,0 days 00:10:09.079000,10.151316666666668
ChIJiWKXIGxhezURSdDzm8-jpb0,62.262726,2022-03-27 06:38:20.405000+00:00,2022-03-27 23:49:44.598000+00:00,MAIN,SINGLE_PLACE,501 광명역세권휴먼시아5단지,대한민국 광명시 소하2동,37.4308554,126.8842593,37.4308852,126.8841678,Asia/Seoul,2022-03-27 15:38:20.405,2022-03-28 08:49:44.598,2022,2022,3,3,27,27,6,15,38,38,6,6,0 days 17:11:24.193000,1031.4032166666668
ChIJQQMYIeJjezURmjWlDv243gI,91.047516,2022-03-28 00:24:07+00:00,2022-03-28 00:36:55.999000+00:00,MAIN,SINGLE_PLACE,Gwangmyeong Cave,대한민국 경기도 광명시 학온동 가학로85번길 142,37.4264944,126.8664843,37.4267924,126.8649106,Asia/Seoul,2022-03-28 09:24:07.000,2022-03-28 09:36:55.999,2022,2022,3,3,28,28,0,9,24,24,0,0,0 days 00:12:48.999000,12.816650000000001
ChIJiWKXIGxhezURSdDzm8-jpb0,69.60003,2022-03-28 02:18:21.619000+00:00,2022-03-29 06:29:01.803000+00:00,MAIN,SINGLE_PLACE,501 광명역세권휴먼시아5단지,대한민국 광명시 소하2동,37.4308554,126.8842593,37.4309025,126.884235,Asia/Seoul,2022-03-28 11:18:21.619,2022-03-29 15:29:01.803,2022,2022,3,3,28,28,2,11,18,18,0,0,1 days 04:10:40.184000,1690.6697333333334
ChIJy1HUOTlhezURtlvsPRRBnHw,70.20347,2022-03-29 06:35:59.658000+00:00,2022-03-29 06:42:33.297000+00:00,MAIN,SINGLE_PLACE,충현근린공원,대한민국 경기도 광명시 소하2동 1068-3,37.432157,126.8787593,37.4324643,126.8788871,Asia/Seoul,2022-03-29 15:35:59.658,2022-03-29 15:42:33.297,2022,2022,3,3,29,29,6,15,35,35,1,1,0 days 00:06:33.639000,6.56065
ChIJiWKXIGxhezURSdDzm8-jpb0,69.26152,2022-03-29 06:46:05.997000+00:00,2022-04-05 06:44:09+00:00,MAIN,SINGLE_PLACE,501 광명역세권휴먼시아5단지,대한민국 광명시 소하2동,37.4308554,126.8842593,37.430891,126.8841629,Asia/Seoul,2022-03-29 15:46:05.997,2022-04-05 15:44:09.000,2022,2022,3,3,29,29,6,15,46,46,1,1,6 days 23:58:03.003000,10078.05005
ChIJiWKXIGxhezURSdDzm8-jpb0,67.393326,2022-04-05 07:36:54+00:00,2022-04-06 06:39:21.737000+00:00,MAIN,SINGLE_PLACE,501 광명역세권휴먼시아5단지,대한민국 광명시 소하2동,37.4308554,126.8842593,37.4308675,126.8841417,Asia/Seoul,2022-04-05 16:36:54.000,2022-04-06 15:39:21.737,2022,2022,4,4,5,5,7,16,36,36,1,1,0 days 23:02:27.737000,1382.4622833333335
ChIJkT4EGUFhezURmFNNjUBhZdw,93.729034,2022-04-06 06:54:09.182000+00:00,2022-04-06 07:09:49.395000+00:00,MAIN,SINGLE_PLACE,Costco Wholesale - Gwangmyeong Branch,대한민국 경기도 광명시 일직로 40,37.4206838,126.8864277,37.421221,126.885743,Asia/Seoul,2022-04-06 15:54:09.182,2022-04-06 16:09:49.395,2022,2022,4,4,6,6,6,15,54,54,2,2,0 days 00:15:40.213000,15.670216666666668
